Iteration,Time (s),Memory Before (KB),Memory After (KB),Memory Used (KB)
1,0.004025,1648,2040,392
2,0.003874,1488,2008,520
3,0.003974,1520,2040,520
4,0.004296,1604,1988,384
5,0.004277,1568,2088,520
6,0.004031,1516,2036,520
7,0.013557,1532,2052,520
8,0.006007,1560,2080,520
9,0.004354,1604,1988,384
10,0.003854,1528,2048,520
11,0.003874,1532,2052,520
12,0.004068,1604,1988,384
13,0.003936,1512,2032,520
14,0.004014,1604,1988,384
15,0.003988,1684,1940,256
16,0.005957,1604,1988,384
17,0.005971,1604,1988,384
18,0.005954,1568,2088,520
19,0.003989,1604,1988,384
20,0.004966,1552,1808,256
21,0.004035,1560,2080,520
22,0.004459,1520,2040,520
23,0.004153,1528,2048,520
24,0.003923,1532,2052,520
25,0.004472,1604,1988,384
26,0.009346,1604,1988,384
27,0.005970,1604,1988,384
28,0.004210,1520,2040,520
29,0.004197,1604,1988,384
30,0.004139,1560,2080,520
31,0.004996,1564,2084,520
32,0.004175,1520,2040,520
33,0.004131,1604,1988,384
34,0.004114,1604,1988,384
35,0.007461,1604,1988,384
36,0.006634,1604,1988,384
37,0.006576,1516,2036,520
38,0.003919,1564,2084,520
39,0.004339,1560,2080,520
40,0.005019,1532,2052,520
41,0.004013,1644,2036,392
42,0.004645,1516,2036,520
43,0.004648,1544,1928,384
44,0.005990,1512,2032,520
45,0.013298,1604,1988,384
46,0.005901,1520,2040,520
47,0.004646,1520,2040,520
48,0.003922,1568,2088,520
49,0.004224,1568,2088,520
50,0.004142,1520,2040,520
51,0.004378,1560,1816,256
52,0.004333,1532,2052,520
53,0.004017,1536,2056,520
54,0.014394,1604,1988,384
55,0.005972,1512,2032,520
56,0.006581,1644,2036,392
57,0.003952,1604,1988,384
58,0.004141,1604,1988,384
59,0.004128,1516,2036,520
60,0.004000,1604,1988,384
61,0.003944,1520,2040,520
62,0.006549,1532,2052,520
63,0.006064,1516,2036,520
64,0.006179,1528,2048,520
65,0.006541,1516,2036,520
66,0.006069,1512,2032,520
67,0.004021,1520,2040,520
68,0.004175,1604,1988,384
69,0.004682,1504,1896,392
70,0.004263,1508,2028,520
71,0.004233,1604,1988,384
72,0.004879,1520,2040,520
73,0.012561,1528,2048,520
74,0.013088,1516,2036,520
75,0.006104,1528,2048,520
76,0.004237,1536,2056,520
77,0.003900,1516,2036,520
78,0.004598,1516,2036,520
79,0.004039,1520,2040,520
80,0.004731,1604,1988,384
81,0.005544,1696,2088,392
82,0.003940,1532,2052,520
83,0.007989,1516,2036,520
84,0.005983,1564,2084,520
85,0.004255,1604,1988,384
86,0.004276,1604,1988,384
87,0.003948,1648,2040,392
88,0.004260,1568,2088,520
89,0.004002,1604,1988,384
90,0.004306,1512,2032,520
91,0.004537,1604,1988,384
92,0.006060,1696,2088,392
93,0.007343,1564,1820,256
94,0.005948,1604,1988,384
95,0.004087,1520,2040,520
96,0.004112,1604,1988,384
97,0.003977,1688,2080,392
98,0.004042,1604,1988,384
99,0.003897,1528,2048,520
100,0.004660,1604,1988,384
