Iteration,Time (s),Memory Before (KB),Memory After (KB),Memory Used (KB)
1,0.148208,1568,2088,520
2,0.138088,1560,2080,520
3,0.149425,1604,1988,384
4,0.131761,1732,1988,256
5,0.132730,1520,2040,520
6,0.138651,1516,2036,520
7,0.229577,1604,1988,384
8,0.198838,1732,1988,256
9,0.179902,1640,2032,392
10,0.129944,1696,2088,392
11,0.132338,1732,1988,256
12,0.137231,1604,1988,384
13,0.132237,1516,2036,520
14,0.145076,1520,2040,520
15,0.146656,1520,2040,520
16,0.202580,1560,2080,520
17,0.209772,1516,2036,520
18,0.189637,1604,1988,384
19,0.151474,1732,1988,256
20,0.133864,1520,2040,520
21,0.137696,1604,1988,384
22,0.129882,1604,1988,384
23,0.128986,1732,1988,256
24,0.135458,1532,1924,392
25,0.138139,1696,2088,392
26,0.238270,1512,2032,520
27,0.194623,1568,2088,520
28,0.205706,1732,1988,256
29,0.139388,1520,2040,520
30,0.130323,1520,2040,520
31,0.131568,1568,2088,520
32,0.130430,1656,2048,392
33,0.130761,1540,1796,256
34,0.134868,1536,2056,520
35,0.222892,1560,2080,520
36,0.243713,1532,2052,520
37,0.199689,1732,1988,256
38,0.144512,1604,1988,384
39,0.136228,1560,2080,520
40,0.136229,1516,2036,520
41,0.137271,1560,2080,520
42,0.136603,1536,2056,520
43,0.135508,1520,1904,384
44,0.137456,1604,1988,384
45,0.251630,1520,2040,520
46,0.207024,1732,1988,256
47,0.165387,1604,1988,384
48,0.130111,1560,2080,520
49,0.128963,1520,2040,520
50,0.131812,1564,2084,520
51,0.134568,1656,2048,392
52,0.132424,1568,2088,520
53,0.137581,1648,2040,392
54,0.219567,1532,2052,520
55,0.199472,1604,1988,384
56,0.195862,1520,2040,520
57,0.136461,1532,1924,392
58,0.131788,1688,2080,392
59,0.136499,1604,1988,384
60,0.143026,1604,1988,384
61,0.136660,1512,2032,520
62,0.152712,1604,1988,384
63,0.148131,1532,2052,520
64,0.205143,1520,2040,520
65,0.194724,1604,1988,384
66,0.163987,1536,2056,520
67,0.136767,1600,1856,256
68,0.132159,1520,2040,520
69,0.131939,1560,1816,256
70,0.130045,1512,2032,520
71,0.131554,1536,2056,520
72,0.153759,1692,2084,392
73,0.191541,1564,2084,520
74,0.223488,1516,2036,520
75,0.202003,1604,1988,384
76,0.147660,1604,1988,384
77,0.135144,1520,2040,520
78,0.133665,1692,2084,392
79,0.138631,1520,2040,520
80,0.132539,1536,2056,520
81,0.130923,1520,2040,520
82,0.145274,1560,2080,520
83,0.208780,1516,2036,520
84,0.192690,1560,2080,520
85,0.164123,1732,1988,256
86,0.135197,1660,2052,392
87,0.132257,1648,2040,392
88,0.143607,1604,1988,384
89,0.132131,1656,2048,392
90,0.130924,1560,2080,520
91,0.141880,1656,2048,392
92,0.201888,1604,1988,384
93,0.207595,1512,2032,520
94,0.190671,1560,2080,520
95,0.147755,1532,2052,520
96,0.142060,1640,2032,392
97,0.130339,1604,1988,384
98,0.131150,1732,1988,256
99,0.132348,1604,1988,384
100,0.142496,1520,2040,520
