KeyGen Time (s),KeyGen Memory (KB),Encaps Time (s),Encaps Memory (KB),Decaps Time (s),Decaps Memory (KB)
0.12427,7552,0.012838,8084,1.41713,8084
0.122169,8084,0.012789,8084,1.413559,8084
0.124131,8084,0.012983,8084,1.418113,8084
0.122193,8084,0.012822,8084,1.420991,8084
0.123293,8084,0.013284,8084,1.417883,8084
0.122515,8084,0.012789,8084,1.417432,8084
0.124835,8084,0.013009,8084,1.422004,8084
0.123246,8084,0.01346,8084,1.409793,8084
0.123388,8084,0.012805,8084,1.423558,8084
0.124681,8084,0.013176,8084,1.422842,8084
0.122393,8084,0.012951,8084,1.427821,8084
0.122721,8084,0.012773,8084,1.407649,8084
0.123526,8084,0.012905,8084,1.405774,8084
0.128328,8084,0.013124,8084,1.425219,8084
0.123085,8084,0.012826,8084,1.439971,8084
0.124899,8084,0.012983,8084,1.46112,8084
0.126986,8084,0.01314,8084,1.46319,8084
0.129194,8084,0.013123,8084,1.457197,8084
0.127774,8084,0.013727,8084,1.521943,8084
0.128895,8084,0.013353,8084,1.441898,8084
0.130802,8084,0.012865,8084,1.415497,8084
0.124212,8084,0.012996,8084,1.418004,8084
0.124722,8084,0.013273,8084,1.430367,8084
0.133236,8084,0.012887,8084,1.413877,8084
0.124372,8084,0.012986,8084,1.416508,8084
0.123484,8084,0.012891,8084,1.417236,8084
0.124016,8084,0.01281,8084,1.415976,8084
0.124657,8084,0.012972,8084,1.415012,8084
0.12393,8084,0.012782,8084,1.429541,8084
0.12586,8084,0.012913,8084,1.419966,8084
0.132313,8084,0.018858,8084,1.442966,8084
0.124479,8084,0.012831,8084,1.420017,8084
0.12348,8084,0.012872,8084,1.41653,8084
0.1236,8084,0.012842,8084,1.414084,8084
0.123864,8084,0.012968,8084,1.416602,8084
0.124061,8084,0.01298,8084,1.419468,8084
0.124676,8084,0.012857,8084,1.417035,8084
0.124563,8084,0.012956,8084,1.419067,8084
0.124412,8084,0.012833,8084,1.422243,8084
0.127981,8084,0.012963,8084,1.423812,8084
0.123956,8084,0.012859,8084,1.423086,8084
0.124126,8084,0.012935,8084,1.42117,8084
0.123121,8084,0.012981,8084,1.419618,8084
0.125021,8084,0.012975,8084,1.417373,8084
0.128496,8084,0.013043,8084,1.419298,8084
0.124451,8084,0.012895,8084,1.421027,8084
0.123625,8084,0.012877,8084,1.42409,8084
0.124952,8084,0.013047,8084,1.426825,8084
0.123945,8084,0.012928,8084,1.419725,8084
0.124187,8084,0.013033,8084,1.42557,8084
0.124218,8084,0.012953,8084,1.427667,8084
0.126221,8084,0.014575,8084,1.420405,8084
0.125556,8084,0.012947,8084,1.427752,8084
0.127273,8084,0.013202,8084,1.443783,8084
0.124699,8084,0.013086,8084,1.434164,8084
0.12441,8084,0.012868,8084,1.42179,8084
0.124147,8084,0.01292,8084,1.471044,8084
0.124964,8084,0.013008,8084,1.420705,8084
0.127368,8084,0.013077,8084,1.493774,8084
0.127786,8084,0.013216,8084,1.479863,8084
0.138194,8084,0.015388,8084,1.447051,8084
0.124643,8084,0.012839,8084,1.421002,8084
0.124406,8084,0.012938,8084,1.423332,8084
0.12483,8084,0.013226,8084,1.424897,8084
0.124152,8084,0.013098,8084,1.420338,8084
0.125831,8084,0.013055,8084,1.422931,8084
0.124914,8084,0.01304,8084,1.415141,8084
0.123793,8084,0.012962,8084,1.417847,8084
0.124554,8084,0.013117,8084,1.454726,8084
0.131103,8084,0.013123,8084,1.421307,8084
0.125429,8084,0.013136,8084,1.436025,8084
0.124495,8084,0.01309,8084,1.417454,8084
0.124903,8084,0.012988,8084,1.423315,8084
0.123911,8084,0.01347,8084,1.437756,8084
0.124069,8084,0.012958,8084,1.417185,8084
0.126112,8084,0.012967,8084,1.419713,8084
0.125311,8084,0.013038,8084,1.418678,8084
0.124615,8084,0.012903,8084,1.432201,8084
0.123655,8084,0.012922,8084,1.421071,8084
0.123554,8084,0.01304,8084,1.420579,8084
0.124808,8084,0.013492,8084,1.421077,8084
0.125102,8084,0.01346,8084,1.417941,8084
0.125248,8084,0.012906,8084,1.422658,8084
0.124219,8084,0.012994,8084,1.442557,8084
0.124934,8084,0.012963,8084,1.418042,8084
0.124722,8084,0.013099,8084,1.446468,8084
0.124556,8084,0.013216,8084,1.431709,8084
0.127591,8084,0.013199,8084,1.446253,8084
0.124631,8084,0.012984,8084,1.420662,8084
0.125547,8084,0.013029,8084,1.433965,8084
0.124414,8084,0.01303,8084,1.430732,8084
0.124915,8084,0.012992,8084,1.422964,8084
0.123977,8084,0.012942,8084,1.417504,8084
0.127975,8084,0.013482,8084,1.423018,8084
0.124167,8084,0.012984,8084,1.418965,8084
0.128225,8084,0.013212,8084,1.417911,8084
0.125619,8084,0.013024,8084,1.423277,8084
0.125466,8084,0.013057,8084,1.418169,8084
0.124312,8084,0.013027,8084,1.421677,8084
0.124611,8084,0.012849,8084,1.423777,8084
