KeyGen Time (s),KeyGen Memory (KB),Encaps Time (s),Encaps Memory (KB),Decaps Time (s),Decaps Memory (KB)
0.012335,2596,0.001202,2596,0.062238,2596,
0.012371,2596,0.001031,2596,0.046340,2596,
0.012346,2596,0.001007,2596,0.048106,2596,
0.012186,2596,0.001092,2596,0.046719,2596,
0.014377,2596,0.001168,2596,0.046873,2596,
0.011841,2596,0.001097,2596,0.045978,2596,
0.011695,2596,0.001028,2596,0.046762,2596,
0.012162,2596,0.001561,2596,0.046333,2596,
0.012027,2596,0.001047,2596,0.060842,2596,
0.018107,2596,0.009519,2596,0.047086,2596,
0.012192,2596,0.001032,2596,0.047145,2596,
0.015886,2596,0.001308,2596,0.049885,2596,
0.016324,2596,0.001370,2596,0.047629,2596,
0.014764,2596,0.001367,2596,0.047926,2596,
0.012316,2596,0.001030,2596,0.048238,2596,
0.012280,2596,0.001004,2596,0.060859,2596,
0.011865,2596,0.001342,2596,0.046845,2596,
0.011989,2596,0.001021,2596,0.047487,2596,
0.012109,2596,0.001031,2596,0.045754,2596,
0.012036,2596,0.001049,2596,0.047918,2596,
0.012212,2596,0.001024,2596,0.048261,2596,
0.015553,2596,0.001160,2596,0.047454,2596,
0.013628,2596,0.001355,2596,0.046625,2596,
0.012367,2596,0.001085,2596,0.045860,2596,
0.014296,2596,0.001327,2596,0.046569,2596,
0.014628,2596,0.001074,2596,0.044910,2596,
0.011980,2596,0.001030,2596,0.045880,2596,
0.013775,2596,0.001078,2596,0.045583,2596,
0.014001,2596,0.001313,2596,0.044866,2596,
0.011363,2596,0.001017,2596,0.045645,2596,
0.011931,2596,0.001404,2596,0.047314,2596,
0.014176,2596,0.001403,2596,0.046606,2596,
0.011927,2596,0.000991,2596,0.045158,2596,
0.014022,2596,0.001149,2596,0.059587,2596,
0.014720,2596,0.001137,2596,0.045873,2596,
0.013855,2596,0.001283,2596,0.047228,2596,
0.012249,2596,0.001036,2596,0.047112,2596,
0.015105,2596,0.001423,2596,0.046583,2596,
0.013761,2596,0.001260,2596,0.044693,2596,
0.011847,2596,0.001024,2596,0.045818,2596,
0.014271,2596,0.001344,2596,0.047492,2596,
0.014307,2596,0.001384,2596,0.046505,2596,
0.011743,2596,0.001022,2596,0.048178,2596,
0.014214,2596,0.001401,2596,0.045457,2596,
0.014224,2596,0.001296,2596,0.046144,2596,
0.011871,2596,0.001032,2596,0.048375,2596,
0.011916,2596,0.001002,2596,0.046823,2596,
0.012391,2596,0.001756,2596,0.047068,2596,
0.011971,2596,0.001004,2596,0.046097,2596,
0.014222,2596,0.001330,2596,0.058798,2596,
0.011638,2596,0.001031,2596,0.046937,2596,
0.011800,2596,0.001020,2596,0.046092,2596,
0.011728,2596,0.001052,2596,0.046271,2596,
0.012470,2596,0.000997,2596,0.048196,2596,
0.012633,2596,0.001534,2596,0.047397,2596,
0.011989,2596,0.000984,2596,0.047187,2596,
0.012102,2596,0.001025,2596,0.046046,2596,
0.011948,2596,0.001002,2596,0.046031,2596,
0.012290,2596,0.001016,2596,0.046815,2596,
0.011957,2596,0.000988,2596,0.046652,2596,
0.012683,2596,0.001013,2596,0.046207,2596,
0.014494,2596,0.001412,2596,0.044316,2596,
0.013947,2596,0.001281,2596,0.046458,2596,
0.012129,2596,0.001010,2596,0.060976,2596,
0.013484,2596,0.001374,2596,0.047208,2596,
0.012070,2596,0.001017,2596,0.060006,2596,
0.011975,2596,0.001802,2596,0.046214,2596,
0.014074,2596,0.001337,2596,0.047769,2596,
0.012045,2596,0.000999,2596,0.046571,2596,
0.014312,2596,0.001297,2596,0.046959,2596,
0.011990,2596,0.001010,2596,0.045444,2596,
0.014275,2596,0.001388,2596,0.047366,2596,
0.013783,2596,0.001398,2596,0.046000,2596,
0.011594,2596,0.001018,2596,0.045914,2596,
0.013217,2596,0.001372,2596,0.045388,2596,
0.013800,2596,0.001318,2596,0.045461,2596,
0.012493,2596,0.001063,2596,0.045636,2596,
0.014240,2596,0.001303,2596,0.046362,2596,
0.012252,2596,0.001051,2596,0.046738,2596,
0.014667,2596,0.001404,2596,0.046602,2596,
0.012975,2596,0.001400,2596,0.047928,2596,
0.013684,2596,0.001252,2596,0.045509,2596,
0.011687,2596,0.001005,2596,0.047344,2596,
0.014403,2596,0.001124,2596,0.045337,2596,
0.012065,2596,0.001067,2596,0.045794,2596,
0.014472,2596,0.001413,2596,0.057821,2596,
0.013146,2596,0.001331,2596,0.045689,2596,
0.012143,2596,0.001003,2596,0.059245,2596,
0.013663,2596,0.001528,2596,0.044755,2596,
0.013804,2596,0.001303,2596,0.045183,2596,
0.013409,2596,0.001314,2596,0.047060,2596,
0.012149,2596,0.001009,2596,0.045574,2596,
0.013605,2596,0.001506,2596,0.050557,2596,
0.011906,2596,0.001459,2596,0.047178,2596,
0.012119,2596,0.001002,2596,0.060336,2596,
0.012906,2596,0.001439,2596,0.046537,2596,
0.011984,2596,0.001063,2596,0.046731,2596,
0.014777,2596,0.001357,2596,0.045937,2596,
0.013652,2596,0.001263,2596,0.045265,2596,
0.011947,2596,0.001036,2596,0.046906,2596,
